iter	RMSE
0	13.94152618
1	13.00328159
2	12.1730419
3	11.4170839
4	10.75611563
5	10.11880163
6	9.578280484
7	9.111715501
8	8.661766067
9	8.302997976
10	7.956631717
11	7.644802667
12	7.381951173
13	7.146168527
14	6.945003333
15	6.734737519
16	6.566136641
17	6.408565892
18	6.266395292
19	6.137929593
20	6.03826907
21	5.939013787
22	5.857201889
23	5.781876655
24	5.71388732
25	5.641134413
26	5.574244098
27	5.515408547
28	5.460482814
29	5.420675975
30	5.380135855
31	5.343621618
32	5.311379018
33	5.281903621
34	5.252242127
35	5.217228914
36	5.195394031
37	5.174868375
38	5.144641763
39	5.120196873
40	5.099825748
41	5.082885749
42	5.067671452
43	5.041198191
44	5.025451822
45	4.999930175
46	4.981971403
47	4.963110498
48	4.953466077
49	4.939884956
50	4.929315309
51	4.91553709
52	4.900713686
53	4.891508007
54	4.880815842
55	4.867177468
56	4.85672104
57	4.843963705
58	4.826855871
59	4.81805635
60	4.810663205
61	4.798555284
62	4.786694204
63	4.76663309
64	4.757111248
65	4.7428889
66	4.729778606
67	4.717678376
68	4.709868504
69	4.690888359
70	4.683794369
71	4.666866305
72	4.656017192
73	4.650673044
74	4.640794925
75	4.633785469
76	4.62302349
77	4.615462611
78	4.602246341
79	4.588011403
80	4.578331907
81	4.569234114
82	4.558641348
83	4.551790191
84	4.53657392
85	4.526136662
86	4.518214277
87	4.507608856
88	4.50190769
89	4.494578304
90	4.486687394
91	4.472504705
92	4.462049445
93	4.453288785
94	4.434698032
95	4.425882542
96	4.41800764
97	4.407736618
98	4.397632864
99	4.392800006
