iter	Passed	Remaining
0	2	287
1	5	247
2	7	234
3	9	228
4	11	225
5	14	227
6	16	222
7	18	215
8	21	213
9	23	210
10	25	206
11	27	204
12	32	218
13	36	223
14	38	219
15	40	214
16	43	211
17	45	208
18	48	205
19	50	203
20	52	199
21	55	195
22	57	192
23	59	188
24	61	185
25	63	182
26	66	179
27	68	176
28	71	174
29	73	171
30	76	169
31	78	166
32	80	164
33	83	161
34	85	158
35	87	156
36	90	153
37	92	151
38	94	147
39	96	145
40	98	142
41	100	139
42	103	136
43	105	134
44	108	132
45	110	129
46	112	126
47	114	124
48	116	121
49	119	119
50	121	117
51	123	114
52	126	111
53	128	109
54	130	106
55	133	104
56	135	101
57	137	99
58	139	97
59	142	94
60	144	92
61	146	89
62	149	87
63	151	85
64	154	83
65	156	80
66	159	78
67	161	75
68	163	73
69	166	71
70	168	68
71	170	66
72	184	68
73	186	65
74	188	62
75	191	60
76	193	57
77	195	55
78	199	52
79	201	50
80	203	47
81	216	47
82	217	44
83	220	41
84	222	39
85	224	36
86	226	33
87	231	31
88	233	28
89	236	26
90	238	23
91	240	20
92	243	18
93	245	15
94	248	13
95	250	10
96	252	7
97	254	5
98	256	2
99	258	0
